index,mz,RT,ionMode,adduct,MS1mz,MS1int,MS2mz,MS2int
40,193.1586,12.36,P,[M+H]+,193.1586;194.162;195.1653,1375720;295806;124544,71.0494;79.0544;81.0336;81.07;83.0492;83.0855;85.0648;88.0756;91.0543;93.07;95.043;95.0491;95.0856;97.0647;97.1012;99.0803;105.0699;107.0855;107.9668;109.0649;109.1012;111.0804;111.1168;119.0855;121.0643;121.1013;123.0447;123.0804;123.1168;131.0854;132.1021;133.065;133.1012;135.0439;135.0804;135.1168;136.0884;137.0599;137.0962;137.133;147.0807;147.117;148.0758;149.0959;149.1323;151.0751;151.1118;151.148;157.101;165.0909;165.1272;175.1122;175.1482;193.0486;193.0682;193.0851;193.1014;193.122;193.1587,8493;5161;4644;18638;1354;3696;10370;577;5633;21735;976;23222;25371;4304;7688;3203;12035;31279;8283;70782;21940;5430;1302;27850;581;8587;932;9512;21536;1140;1210;597;26258;2587;5901;34379;773;2723;12414;1011;2498;11730;850;887;10553;2255;13613;849;862;921;1045;6231;45096;680;744;2833;2402;17000;75598
41,369.1179,9.21,P,[M+H]+,369.1181;370.1215;371.1248,9255201;2578751;477926,72.0811;78.0464;79.0546;81.0702;83.0493;84.0812;85.0283;85.6026;89.0385;89.0436;91.0543;93.0697;95.0855;102.5445;105.07;111.044;116.1074;117.0335;119.0491;121.0648;134.0362;135.0442;139.0383;145.0285;147.0444;147.4892;149.0598;151.0393;162.031;163.039;175.0384;177.0547;207.0664;283.5695,5141;3806;7704;5709;18723;3520;4207;3156;95958;3804;13271;4668;3604;3066;6743;4483;3432;355935;6228;3156;19222;29777;3828;1691201;7448;3425;131490;4260;5415;20976;6258;3308361;23079;4224
42,355.2843,11.58,P,[M+H]+,355.2845;356.2878;357.2912,5928806;1827801;81762,71.0494;71.0859;75.0442;79.0544;80.0579;81.0337;81.07;83.0496;83.0809;83.0857;85.0649;85.1013;85.4373;91.0542;93.0699;95.0491;95.0855;97.0649;97.1012;99.0804;102.1489;103.0751;105.07;107.0855;109.0652;109.1012;111.0805;111.1168;113.0961;117.0698;119.0856;121.1012;121.1099;123.0804;123.1168;125.096;125.1327;127.1116;129.0546;131.0856;133.1011;135.1169;137.096;137.1323;139.1117;141.1276;143.1067;143.9522;145.0286;145.1009;147.1169;149.1326;151.1114;151.1482;153.1272;155.1431;161.1326;163.0391;163.1481;165.1276;165.1642;167.1425;171.1399;173.118;173.1326;175.1119;175.1483;177.1638;179.1429;179.1793;181.159;189.1636;193.16;203.18;207.174;213.0555;217.1951;221.226;245.2263;247.2408;261.2223;263.2366;265.253;281.247;291.1898;316.3155;337.2733;355.2101,9585;21382;4465;77598;2692;5034;343135;5037;5079;120761;15058;12313;2843;60341;128707;12741;312217;45068;90432;18489;2387;3152;61824;101751;2654;195193;23169;24917;14639;3457;73131;133346;5061;14486;94613;15941;3224;4268;5920;5298;79221;86155;15707;37306;5327;10302;2913;2428;3447;5867;66737;78680;14251;35951;4457;3569;73534;29763;76953;5901;27995;4703;2697;2665;2433;2868;59281;15265;4118;20846;5459;32866;3558;5397;4609;3647;4932;2989;220825;3728;3719;226922;3376;2688;3511;2641;138927;4017
43,197.1171,9.1,P,[M+H]+,197.1172;198.1205;199.1239,5214258;881387;95480,71.0131;71.0493;72.0811;73.0284;73.0651;74.0966;77.0387;78.2877;79.0543;81.07;83.0493;83.0855;85.0647;87.044;91.0542;93.0698;94.0776;95.049;95.0855;97.0647;99.0437;103.054;105.0339;105.0698;107.0491;107.0854;109.0647;109.1011;111.0439;111.0804;113.0596;115.054;117.0695;118.0774;119.0491;119.0602;119.0855;120.0933;121.0647;121.0714;121.1011;122.0724;123.044;123.0803;123.1167;125.0596;125.0955;127.0391;127.0751;128.0619;131.0491;131.0856;133.0661;133.1011;135.0815;135.1167;137.0596;137.0959;137.1068;139.0752;140.0459;141.0549;141.0696;143.0854;146.0725;149.0959;151.0391;151.0756;151.1116;155.0705;155.0856;155.1065;159.0668;159.0801;161.096;163.0394;164.0839;167.1072;169.0636;169.1014;179.1066;182.1091,4710;10538;762;1420;1024;3228;3477;775;39357;46311;19637;1814;6066;3378;121898;234459;1881;77859;24101;7671;5639;3582;1491;226675;10410;709676;59012;76301;4978;5844;40279;4219;9125;3656;16042;4034;86173;7162;68384;1075;12428;998;34009;13661;33395;40712;1255;13078;3694;5485;1209;21728;9126;772412;15634;739384;80357;84399;1346;3481;1245;11933;3346;16006;16075;3684;3842;6943;79216;4063;4728;4189;914;1849;439812;1182;1031;3538;1625;4780;1238597;1957
44,195.138,12.9,P,[M+H]+,195.138;196.1413;197.1447,2385798;220006;0,71.0131;71.0495;71.086;71.1306;71.9406;73.0288;74.0965;76.9172;77.0387;79.0545;81.0337;81.0701;83.0444;83.0493;83.0857;85.0286;85.0524;85.0647;87.0441;91.0543;91.508;92.2293;93.07;95.0492;95.0856;97.0649;97.1013;99.0442;99.0805;101.06;105.0448;105.0701;105.0772;107.0492;107.0856;109.065;109.1014;111.0805;111.1168;112.9669;113.0602;113.0962;113.9637;117.0699;119.0855;121.0649;121.1013;123.0806;123.1171;125.0602;127.0752;129.0703;130.9782;131.0857;131.9735;133.1013;135.0445;135.0807;135.1169;136.0478;137.0959;139.0749;139.1117;144.0933;145.0277;147.1174;149.0963;149.1327;151.1116;153.0916;157.1022;159.1171;165.0706;174.0792;177.0548;177.1276;180.0938;195.0891;195.1189;195.1386,3629;14576;1071;939;1455;1907;1481;1032;1203;111870;58873;276524;1939;47760;39935;982;897;14939;1098;83892;807;1050;202686;29791;100715;46060;3844;1746;9589;1120;1392;34296;1212;7526;95278;13447;12623;21593;1003;1640;1214;3552;1119;42897;11548;29097;48045;4103;5210;1105;1007;1256;1018;49086;952;60060;1491;13774;92497;6087;1227;2066;1213;1361;1398;4242;5604;84355;8616;6210;1225;67601;4665;1029;1490;42224;4563;1190;14892;62789
45,339.1076,9.14,P,[M+H]+,339.1076;340.1109;341.1143,3309281;662692;389712,70.065;72.081;79.0544;81.0336;81.07;83.0492;83.0854;84.0807;85.0285;91.0542;93.0334;93.0699;95.0491;95.0855;97.0284;97.065;97.101;105.0701;107.0489;107.0856;109.0287;109.0645;109.1012;111.0441;111.0803;113.0594;117.0334;117.0701;119.0492;119.0852;121.0648;121.1014;122.068;123.0805;123.1167;127.0392;129.0698;131.0854;133.065;133.1013;135.0803;135.1167;137.0594;137.0964;139.1118;145.0285;145.0642;145.1014;147.044;147.1168;149.0589;149.0963;149.132;155.0864;157.1012;159.0812;159.1166;161.0968;163.111;165.0544;165.0904;169.1014;171.1163;173.1322;175.112;177.0546;177.1273;187.148;191.1435;201.1633;202.1079;207.0645;211.1466;219.0796;229.1587;247.0772;247.1698;278.2107;288.5627;303.1572;307.0959;309.1338;321.096;321.1701;321.2078;338.2677;339.0509;339.0875;339.1206;339.1792;339.2319,1501;12467;14940;7814;24078;10381;1608;2793;5654;69055;1335;16723;8058;13726;6592;4612;2632;9614;5090;10529;2318;9805;6996;10385;1861;1486;1707;4882;193541;11451;7842;9073;2386;5005;3046;6126;2187;8583;3051;6361;6642;2548;6047;4645;1846;22089;1232;8949;1371833;7583;1864;8610;1822;1461;2765;1735;6463;1982;2061;7891;1593;1419;2345;5494;2988;49987;1961;2037;1828;1878;1277;2096;1608;1880;6367;1794;7313;1702;1200;1398;2948;1211;1794;1923;2824;13581;1306;4863;1603;14546;1704
46,416.3522,9.6,P,[M+H]+,416.3522;417.3556;418.3589,7185922;1909009;317218,70.0654;71.0859;79.0504;79.0543;81.0701;83.0488;83.0857;84.0445;84.0811;85.0285;86.0058;86.0967;91.0543;93.07;95.0856;96.0807;97.065;98.0962;99.0803;105.0699;107.0492;107.0855;109.0646;109.1011;114.0916;117.0696;119.0858;121.0648;121.1014;122.027;123.0805;123.1169;124.1121;124.1206;125.0963;126.1278;127.1116;127.8604;131.0857;132.0114;133.1012;135.117;136.0618;140.0335;143.0852;145.1012;147.1057;147.1169;149.096;149.1325;151.1119;157.1019;158.1057;159.1169;161.1326;163.0393;163.1122;167.0702;169.6217;171.1168;173.1326;175.148;179.1431;180.1543;185.1323;187.148;191.1425;199.1482;213.1643;214.1674;215.1795;224.0571;227.1803;231.1745;242.0677;255.2108;256.2145;259.0984;271.2496;273.2211;274.2244;277.216;302.1421;305.0242;394.3873;398.3424;399.3281,67632;10302;2244;20681;40247;2453;3474;4173;3302;4156;2877;2261;25315;27972;30992;12040;8899;2560;10046;50110;2460;50090;3514;28490;31517;4939;28826;8559;34289;11829;2341;10485;46421;3047;3387;64900;9223;2014;19926;5216;31549;25293;3344;2780;2877;40123;3995;73314;3362;24602;18045;3484;2329;52418;389724;3635;18263;3476;2146;9515;32647;4536;4403;2602;13555;8730;2281;12464;14348;7985;9866;2243;8167;3302;14758;164991;3376;2674;2383;120087;4339;9687;25647;2109;2161;201257;2814
47,176.0918,1.99,P,[M+H]+,176.0918;177.0952;178.0985,18377674;1266138;218790,81.3096;84.0445;85.0285;85.0648;91.8935;102.055;103.039;130.05;130.0863;131.0241;131.034;149.9427;158.0808;159.0654;170.071,5203;6205190;366758;8755;4594;132839;27469;1859086;2147870;11202;299388;5488;11259;160570;5312
48,145.0494,0.73,P,[M+H]+,145.0494;146.0528;147.0561,6917104;523694;261380,71.013;71.0494;73.0287;81.0336;83.0128;83.0493;84.9596;84.9922;85.0285;87.0076;87.0444;87.9772;90.9475;97.008;97.0286;98.8914;99.044;100.0475;100.0754;100.112;101.0233;103.9556;109.0285;115.039;117.0697;118.9676;121.9662;122.0192;127.039;132.1187;144.9814;145.0496;145.1008;145.1339,13778;436924;2961;136517;26655;3411;2550;12441;102752;3179;2644;1809;2219;14980;3790;2078;1497854;3216;4379;9107;16145;3105;4176;10781;3224;3823;64159;110966;328119;1985;1802;243993;1743;1848
49,303.2312,12.34,P,[M+H]+,303.2311;304.2344;305.2378,42704896;9854307;1183509,71.0494;78.2958;79.0544;81.07;81.0748;83.0493;83.0856;85.0648;85.9137;86.8624;87.044;88.0199;91.0542;93.0699;95.0491;95.0856;97.0648;97.1012;99.0803;101.0597;105.0699;107.0856;109.0648;109.1012;111.0803;115.0544;115.0754;117.0698;119.0855;121.0648;121.1011;123.0804;123.1166;125.0958;129.0696;129.0904;131.0854;132.0933;133.1011;135.0803;135.1168;137.0956;141.0697;143.0853;145.1012;147.0805;147.1168;149.096;149.1324;155.0852;157.1012;159.1169;161.0962;161.1191;161.1326;163.1116;169.1014;171.1045;171.1171;173.0964;173.1325;175.1121;175.1484;177.1273;183.1168;185.1324;187.112;187.1485;189.127;195.137;197.1327;199.1481;201.1273;201.163;207.1378;211.1483;213.164;215.144;215.1793;221.1541;229.1588;229.1945;239.1793;257.1899;267.2096;275.1999;285.2213;303.049;303.2312,27985;12253;456135;716862;25548;33668;423907;54307;13620;16837;33632;14010;1111276;454265;72228;822344;92574;129117;59043;79440;1910612;425693;69099;273459;97746;31478;31407;353461;2078866;20082;275585;57383;64558;34816;157942;28078;728934;23271;1435030;79528;161899;23903;71690;214809;1293649;35323;1857400;117370;27387;103320;457591;1117381;97521;29058;749691;137010;244627;20893;325428;25626;891288;120203;129378;17683;266289;172992;100536;155875;93961;22570;284058;66737;103753;56797;28586;163357;85519;29938;334920;27025;112347;130718;722516;1208295;29084;35476;87192;91138;3095380
50,339.1071,8.81,P,[M+H]+,339.1071;340.1104;341.1138,5360254;1381295;0,71.0494;79.0544;81.0334;81.07;83.1418;85.0286;89.0385;91.0542;93.0701;95.0492;95.0856;97.0285;97.0648;97.1014;98.976;99.044;102.8298;103.0542;105.0695;107.0497;107.0856;109.0285;109.0651;109.1012;111.0443;111.0808;113.0597;117.0334;117.0695;119.0491;119.0856;121.0643;121.101;122.5774;123.0437;123.1171;124.9181;127.039;128.0621;129.0703;131.0492;131.0858;133.029;133.0648;133.1008;134.0361;135.0439;135.08;135.1169;137.0597;137.0959;139.0745;141.0552;141.0695;145.0284;147.0441;147.0801;147.1169;147.1294;149.0478;149.0597;149.0962;151.0389;155.0494;157.0391;157.0655;159.0805;159.1178;161.0599;161.0958;161.1318;163.0387;163.0757;165.091;173.0601;175.039;175.0751;175.113;177.0546;183.0446;185.0596;186.0546;187.0757;189.0546;195.0655;201.0548;205.0664;207.0652;215.071;218.0728;219.0818;229.0856;231.0653;233.08;235.0742;236.083;247.0746;247.1693;251.107;261.0753;263.0688;263.8522;264.0774;265.0855;277.0859;278.0572;279.1011;283.5687;289.0865;303.0858;303.1586;307.095;307.1257;311.0555;311.1268;321.0952;339.0519;339.107;339.1428;339.1801;339.2732,2020;8688;12972;20097;1657;10455;50708;24944;13024;8963;12720;33073;3118;2097;1635;9965;1877;4252;15332;2125;9865;12010;3206;9453;2066;2109;1999;200568;4562;30152;9830;3710;4177;2129;1912;2223;1740;72796;2463;3234;10891;8284;2548;3115;8502;12808;19118;2998;3498;54794;4444;1752;1860;2222;1046679;40770;1952;4040;1903;2673;70986;7418;8441;1997;1963;2893;3411;3743;11715;4355;2220;17087;4637;2925;2097;77396;2575;2985;2274787;2273;2592;2307;2383;20936;19486;2375;2621;159729;16076;2302;3255;8594;2927;4514;2999;3965;4022;2703;7640;10976;2102;1908;9230;3178;2456;2066;9429;2550;2199;3029;3369;18863;2590;2780;15321;30547;2603;58574;11792;16607;2477
51,275.2,10.77,P,[M+H]+,275.1999;276.2032;277.2066,54835488;13586269;2243188,71.0493;73.0653;79.0544;81.07;83.0493;83.0856;85.0648;91.0542;92.9612;93.0699;94.0582;95.0492;95.0855;97.0649;97.1011;99.0808;103.0539;105.0699;107.0491;107.0855;109.0648;109.1012;111.0804;113.0595;115.0542;117.0698;119.0856;121.0649;121.1011;123.0805;123.1169;125.0963;129.0703;131.0756;131.0855;132.093;133.0649;133.1012;135.0804;135.1166;137.0963;139.1115;141.07;143.0852;145.0653;145.1012;147.0802;147.1168;149.0962;149.1326;151.1117;153.128;155.0855;157.1014;159.0806;159.1169;161.0961;161.1326;163.1117;165.0905;169.1014;171.117;173.0956;173.1326;175.1121;175.1484;177.1271;177.2006;179.8894;181.1212;182.1086;183.1169;185.1329;187.1118;187.1483;189.1279;191.1441;197.1325;199.1485;201.127;201.1634;205.1224;207.1376;211.1482;213.1642;215.18;217.158;219.1384;229.1596;229.1951;233.1532;233.189;239.1793;247.2061;257.1899,36394;7401;364754;367039;51521;125406;39055;697688;7017;365811;7828;73451;280418;68344;56378;13310;14763;1316733;50264;431608;44593;147562;29600;14575;11857;202518;844084;52431;183208;39892;34582;60562;52246;11838;356825;9823;16828;998783;80341;71126;58967;8694;26369;100811;8129;557881;27350;822561;172906;11330;35627;9515;49595;110933;14092;281871;45407;176439;106352;14684;69867;106251;30031;125781;36828;32475;49467;7036;9137;12443;8264;89636;74355;69436;93500;11230;8533;83325;12167;35741;36385;9227;8824;67776;9719;43148;10362;28172;70586;70161;17303;9438;123301;63208;312641
52,247.1286,4.76,P,[M+H]+,247.1286;248.132;249.1354,1775497;211951;16653,70.0291;70.0655;70.1588;72.0448;72.081;73.0286;73.065;73.929;76.0862;81.0332;84.0446;84.0808;85.0284;85.0397;86.0965;88.0393;96.0442;96.0803;97.0284;97.0928;98.0236;98.9841;99.0077;100.0394;104.0528;108.7307;110.0236;111.8912;111.9795;113.1072;114.0549;114.5966;115.0502;116.0347;116.0705;118.0863;121.0645;124.0392;124.0756;125.0236;128.0338;130.05;132.1019;138.0911;141.1021;142.0861;143.0336;151.0377;155.118;156.102;162.9697;166.0863;169.0972;172.9522;173.0216;183.1128;184.0965;187.1076;201.1233;211.1079;212.0918;229.1182;230.1025;246.9122;247.0416;247.109;247.1285,1518;1003;684;875;11179;5026;942;611;615;718;7117;1473;1409;9728;237930;139194;802;1129;3309;643;8798;7589;1634;5101;4883;621;29991;670;704;23551;3686;688;3666;944;6838;6281;1564;6629;1050;1209;675;1598;151441;8013;66585;831;1222;651;4048;13244;665;64537;6202;1181;1131;21092;12531;41884;119596;2982;48923;18906;4410;3210;1057;2135;29420
